(186.68753051757812, 89.2518310546875)
(186.48834228515625, 88.41423797607422)
(264.0953369140625, 294.0043640136719)
(109.01712036132812, 272.37872314453125)
(269.8363952636719, 228.9124298095703)
(184.85272216796875, 129.89979553222656)
(107.13414001464844, 268.1891174316406)
(110.87370300292969, 277.7916259765625)
(236.5531463623047, 251.2391357421875)
(383.0653076171875, 76.1790771484375)
(383.0678405761719, 75.88904571533203)
(184.79067993164062, 132.05010986328125)
(382.94757080078125, 119.9497299194336)
(424.9333190917969, 307.7514953613281)
(346.68292236328125, 165.00502014160156)
(382.2374572753906, 120.61202239990234)
(345.9024353027344, 165.4639434814453)
(319.6112060546875, 266.89337158203125)
(225.2260284423828, 263.5709533691406)
(311.32171630859375, 245.70266723632812)
(431.4200744628906, 321.3617858886719)
(281.33270263671875, 226.20208740234375)

(1028.196044921875, 1167.1068115234375)
(394.6867980957031, 726.5813598632812)
(869.3028564453125, 1574.2459716796875)
(672.0715942382812, 521.211181640625)
(660.2562866210938, 1560.1376953125)
(223.8225860595703, 684.6697387695312)
(869.24267578125, 1574.18603515625)
(631.3533325195312, 656.2828979492188)
(1008.0379638671875, 1518.2935791015625)
(358.56689453125, 773.892578125)
(232.71791076660156, 706.4673461914062)
(909.4130249023438, 220.85569763183594)
(143.53115844726562, 699.9202880859375)
(1048.5950927734375, 1564.717529296875)
(1079.570556640625, 1180.681396484375)
(734.7929077148438, 1588.1646728515625)
(196.79075622558594, 1478.580810546875)
(221.2417755126953, 695.3143920898438)
(677.55859375, 509.942626953125)
(231.37684631347656, 702.5620727539062)
(785.765869140625, 1520.0074462890625)
(221.06881713867188, 1474.796630859375)
(684.028564453125, 1544.85009765625)
(222.54617309570312, 695.158203125)
(280.1014404296875, 163.6988525390625)
(142.8649444580078, 678.6600341796875)
(200.95822143554688, 119.23348236083984)
(1076.1781005859375, 1332.61083984375)
(641.4824829101562, 1542.201416015625)
(404.5168151855469, 1535.2437744140625)
(187.41976928710938, 1545.600341796875)
(684.189697265625, 1544.74072265625)
(857.1716918945312, 1576.2191162109375)
(381.483642578125, 1542.4774169921875)
(641.3324584960938, 1542.6177978515625)
(380.4783630371094, 1523.2388916015625)
(292.2290954589844, 1553.3973388671875)

(321.3685607910156, 275.5357360839844)
(374.793212890625, 275.1251220703125)
(321.40869140625, 275.4350891113281)
(374.71697998046875, 274.9844970703125)
(349.0538330078125, 310.5755920410156)
(427.6483459472656, 372.6864929199219)
(261.7419738769531, 374.6129150390625)
(510.17950439453125, 249.78224182128906)
(261.45916748046875, 374.4735412597656)
(348.92291259765625, 252.1632537841797)
(312.23077392578125, 329.7665100097656)
(337.26849365234375, 379.3575134277344)
(144.9193878173828, 127.81021881103516)
(450.96807861328125, 332.859375)
(499.62384033203125, 372.7550354003906)
(431.0621032714844, 983.5691528320312)
(507.6416015625, 362.2751159667969)
(251.38938903808594, 339.0451965332031)
(104.44498443603516, 130.0915069580078)
(384.418212890625, 329.280517578125)
(336.86279296875, 392.8064270019531)
(309.9526672363281, 294.6310119628906)
(135.3865203857422, 124.72090911865234)
(311.2499694824219, 283.0794677734375)
(663.8688354492188, 11.121747016906738)
(103.93930053710938, 131.65016174316406)
(384.87646484375, 282.9250793457031)
(386.15570068359375, 294.722900390625)
(308.6455993652344, 294.7149963378906)
(311.7253112792969, 340.3394470214844)
(11.131547927856445, 11.103107452392578)
(410.14508056640625, 374.1351318359375)
(217.13084411621094, 354.5333557128906)
(384.4254455566406, 340.0079650878906)
(441.9463195800781, 987.9766845703125)
(49.51002883911133, 211.83502197265625)
(357.8546142578125, 390.2768249511719)
(496.6643981933594, 373.2351989746094)
(188.59251403808594, 255.24044799804688)
(19.11662483215332, 234.16891479492188)
(410.59423828125, 374.7364807128906)
(322.3284912109375, 298.2270812988281)
(600.563232421875, 123.89068603515625)
(372.9123840332031, 298.3183898925781)

(77.20013427734375, 511.03656005859375)
(548.013427734375, 499.73919677734375)
(638.3079223632812, 226.9927978515625)
(84.67725372314453, 531.998046875)
(108.67236328125, 328.30450439453125)
(292.34130859375, 574.8267822265625)
(746.0509643554688, 427.0872497558594)
(554.4242553710938, 570.5980224609375)
(108.6617202758789, 328.20050048828125)
(524.4786376953125, 498.78253173828125)
(58.23045349121094, 368.3577880859375)
(654.9031372070312, 333.5069274902344)
(126.9776840209961, 489.36346435546875)
(654.8897705078125, 333.4766845703125)
(538.80224609375, 498.1246337890625)
(752.3034057617188, 290.2173767089844)
(554.1057739257812, 109.48268127441406)
(51.2140007019043, 566.0528564453125)
(297.2290344238281, 581.8723754882812)
(460.3128967285156, 571.3988037109375)
(763.94970703125, 309.7118225097656)
(123.77952575683594, 507.6896057128906)
(555.5278930664062, 571.0576171875)
(210.99098205566406, 545.5946044921875)

(398.8611755371094, 266.20550537109375)
(307.155517578125, 99.58452606201172)
(89.3863754272461, 618.8439331054688)
(857.951171875, 647.3683471679688)
(488.7532043457031, 306.46087646484375)
(304.6281433105469, 74.82501220703125)
(427.6869201660156, 264.4622497558594)
(420.27288818359375, 290.811767578125)
(304.183349609375, 161.33905029296875)
(434.0267333984375, 653.3816528320312)
(508.13079833984375, 512.0518188476562)
(433.3016357421875, 652.3214721679688)
(594.9963989257812, 61.51647186279297)
(274.1593322753906, 556.6024780273438)
(284.6708679199219, 558.1079711914062)
(495.44793701171875, 506.02081298828125)
(660.6439208984375, 417.21746826171875)
(498.1485290527344, 619.2301025390625)
(502.3500671386719, 508.64727783203125)
(463.337646484375, 506.00091552734375)
(522.8977661132812, 375.69342041015625)
